epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.873,1.52262,2.40058,1.5149,0.61626,0.56272,0.58413,0.32178,1.55309,1.90255,1.57577,0.000415123,0.000415123,0.000415123
2,116.508,1.48895,1.66226,1.47078,0.70234,0.58863,0.62019,0.33134,1.64126,1.75774,1.56663,0.000815321,0.000815321,0.000815321
3,166.215,1.52084,1.56956,1.48616,0.70829,0.64196,0.62566,0.35057,1.58091,1.71738,1.56404,0.00119902,0.00119902,0.00119902
4,215.835,1.51526,1.48582,1.48632,0.68787,0.65392,0.6661,0.37307,1.56143,1.50173,1.54001,0.00117575,0.00117575,0.00117575
5,265.706,1.48923,1.40323,1.44458,0.69124,0.63772,0.65401,0.35473,1.57606,1.49758,1.55977,0.001151,0.001151,0.001151
6,315.351,1.46244,1.33757,1.44321,0.74234,0.66914,0.70093,0.39747,1.54984,1.35479,1.50629,0.00112625,0.00112625,0.00112625
7,365.009,1.43537,1.28121,1.42615,0.74841,0.62456,0.67352,0.39204,1.51154,1.39265,1.51321,0.0011015,0.0011015,0.0011015
8,414.642,1.43006,1.25912,1.41761,0.7822,0.67258,0.7146,0.412,1.50167,1.2577,1.47522,0.00107675,0.00107675,0.00107675
9,464.022,1.42471,1.20655,1.42097,0.77637,0.67619,0.72215,0.40273,1.54517,1.25466,1.51839,0.001052,0.001052,0.001052
10,513.394,1.39544,1.18573,1.38269,0.78025,0.68399,0.71876,0.4263,1.4532,1.17956,1.44896,0.00102725,0.00102725,0.00102725
11,562.993,1.40737,1.10946,1.38402,0.80163,0.6928,0.74429,0.42221,1.53666,1.16507,1.52277,0.0010025,0.0010025,0.0010025
12,612.652,1.38532,1.12925,1.39151,0.79063,0.71763,0.74444,0.43816,1.43844,1.11896,1.44909,0.00097775,0.00097775,0.00097775
13,662.286,1.35263,1.06906,1.35038,0.80808,0.70045,0.74766,0.43404,1.47707,1.09111,1.43489,0.000953,0.000953,0.000953
14,711.872,1.35603,1.05491,1.3434,0.82835,0.70362,0.75317,0.43679,1.46451,1.08536,1.4276,0.00092825,0.00092825,0.00092825
15,761.54,1.34557,1.03364,1.34693,0.82502,0.71337,0.75002,0.43805,1.42942,1.05699,1.40619,0.0009035,0.0009035,0.0009035
16,811.125,1.34956,1.03741,1.35909,0.82849,0.69801,0.75401,0.45137,1.44707,1.07121,1.42433,0.00087875,0.00087875,0.00087875
17,860.289,1.3121,0.98591,1.32464,0.78253,0.74629,0.76735,0.45193,1.4528,1.01805,1.42099,0.000854,0.000854,0.000854
18,909.817,1.32175,0.97401,1.3328,0.81619,0.72884,0.76447,0.45966,1.41922,1.01225,1.37991,0.00082925,0.00082925,0.00082925
19,959.791,1.30228,0.9468,1.3171,0.79722,0.73358,0.7697,0.45867,1.42341,1.01701,1.41636,0.0008045,0.0008045,0.0008045
20,1009.56,1.31344,0.95682,1.32647,0.81525,0.7223,0.76458,0.4538,1.43435,1.02897,1.42214,0.00077975,0.00077975,0.00077975
21,1059.55,1.28683,0.92362,1.31289,0.81227,0.7291,0.76638,0.45452,1.41001,0.99031,1.39151,0.000755,0.000755,0.000755
22,1109.44,1.30952,0.94251,1.32016,0.80005,0.74597,0.77237,0.46231,1.42086,1.00181,1.40186,0.00073025,0.00073025,0.00073025
23,1159,1.27294,0.90518,1.29962,0.85468,0.72378,0.78276,0.47142,1.40615,0.95257,1.38689,0.0007055,0.0007055,0.0007055
24,1208.8,1.28385,0.90715,1.30636,0.85228,0.71657,0.77422,0.46488,1.4109,0.95463,1.39408,0.00068075,0.00068075,0.00068075
25,1258.24,1.26167,0.87343,1.28665,0.85013,0.72396,0.77887,0.45951,1.43559,0.96867,1.40416,0.000656,0.000656,0.000656
26,1308.09,1.23895,0.86269,1.2899,0.82302,0.74872,0.77217,0.46641,1.39025,0.9624,1.39014,0.00063125,0.00063125,0.00063125
27,1357.9,1.23744,0.85353,1.26902,0.8149,0.75151,0.7784,0.46964,1.40972,0.95096,1.39631,0.0006065,0.0006065,0.0006065
28,1407.66,1.22746,0.84746,1.28011,0.80792,0.76421,0.77753,0.46854,1.39967,0.93958,1.38685,0.00058175,0.00058175,0.00058175
29,1457.88,1.21599,0.83804,1.2615,0.81844,0.75172,0.78387,0.46442,1.39585,0.914,1.36361,0.000557,0.000557,0.000557
30,1507.9,1.2092,0.82219,1.27245,0.83998,0.7543,0.78848,0.48196,1.37141,0.88993,1.35972,0.00053225,0.00053225,0.00053225
31,1558.01,1.23349,0.83539,1.26357,0.86765,0.73532,0.78724,0.48166,1.38743,0.90632,1.3726,0.0005075,0.0005075,0.0005075
32,1607.96,1.20078,0.80424,1.25018,0.84488,0.73656,0.77823,0.47747,1.37694,0.90115,1.36318,0.00048275,0.00048275,0.00048275
33,1658.29,1.19161,0.8003,1.24936,0.81792,0.76025,0.7782,0.47206,1.36731,0.89955,1.34877,0.000458,0.000458,0.000458
34,1708.03,1.2086,0.81698,1.24845,0.85151,0.74899,0.79325,0.4874,1.36578,0.87977,1.35282,0.00043325,0.00043325,0.00043325
35,1757.85,1.17533,0.78599,1.24302,0.84833,0.75429,0.78892,0.48152,1.35331,0.87387,1.35277,0.0004085,0.0004085,0.0004085
36,1807.62,1.17043,0.78665,1.23459,0.83579,0.75424,0.78265,0.48009,1.36108,0.89445,1.34768,0.00038375,0.00038375,0.00038375
37,1858,1.18321,0.78449,1.24309,0.83646,0.76375,0.79038,0.48312,1.35645,0.87805,1.35892,0.000359,0.000359,0.000359
38,1908.43,1.16999,0.76527,1.23414,0.85061,0.74453,0.78971,0.4873,1.35259,0.87358,1.34494,0.00033425,0.00033425,0.00033425
39,1958.54,1.14751,0.73769,1.21822,0.86133,0.74304,0.78871,0.48774,1.35883,0.8704,1.3473,0.0003095,0.0003095,0.0003095
40,2009.29,1.14824,0.7454,1.22634,0.84277,0.7455,0.78735,0.4817,1.3627,0.88438,1.35241,0.00028475,0.00028475,0.00028475
41,2066.88,1.12501,0.69891,1.22916,0.8316,0.75569,0.78323,0.48066,1.36154,0.88393,1.347,0.00026,0.00026,0.00026
42,2123.92,1.12302,0.68252,1.2188,0.84518,0.73882,0.78823,0.48025,1.35841,0.87325,1.33968,0.00023525,0.00023525,0.00023525
43,2180.63,1.09387,0.67357,1.19973,0.83391,0.7595,0.78928,0.48644,1.34912,0.86874,1.34295,0.0002105,0.0002105,0.0002105
44,2237.03,1.10414,0.67603,1.20692,0.84242,0.75949,0.79045,0.48093,1.36185,0.86766,1.34722,0.00018575,0.00018575,0.00018575
45,2300.4,1.08571,0.65024,1.19193,0.83023,0.76099,0.79189,0.48323,1.36013,0.85314,1.35331,0.000161,0.000161,0.000161
