epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7476,1.53462,2.09548,1.7651,0.46175,0.40513,0.29887,0.10133,2.09803,2.9406,2.80358,0.000664948,0.000664948,0.000664948
2,143.206,1.56895,1.69998,1.79161,0.86731,0.64957,0.69781,0.34797,1.62361,1.81219,2.22181,0.00130525,0.00130525,0.00130525
3,205.966,1.58706,1.56454,1.80387,0.77626,0.66154,0.66392,0.30468,1.68507,1.51485,2.16364,0.00191915,0.00191915,0.00191915
4,268.3,1.55568,1.44918,1.77399,0.90159,0.65128,0.72716,0.34673,1.64951,1.1729,2.1728,0.0018812,0.0018812,0.0018812
5,330.62,1.54334,1.33287,1.75648,0.95347,0.70769,0.77446,0.42345,1.46289,0.99616,1.95564,0.0018416,0.0018416,0.0018416
6,393.414,1.48295,1.28677,1.72429,0.90518,0.70256,0.78568,0.41962,1.45917,0.94047,1.95958,0.001802,0.001802,0.001802
7,456.019,1.465,1.25224,1.69749,0.95996,0.71453,0.80928,0.46433,1.37855,0.914,1.84848,0.0017624,0.0017624,0.0017624
8,518.296,1.42039,1.17669,1.66403,0.94132,0.71293,0.82822,0.46518,1.37224,0.89562,1.8436,0.0017228,0.0017228,0.0017228
9,584.71,1.41742,1.19043,1.65389,0.95261,0.70598,0.842,0.44813,1.42397,0.87215,1.88721,0.0016832,0.0016832,0.0016832
10,656.116,1.40448,1.18874,1.6311,0.9284,0.73504,0.83494,0.45107,1.41735,0.99086,1.89346,0.0016436,0.0016436,0.0016436
11,732.698,1.351,1.09855,1.60943,0.94259,0.72976,0.83415,0.48645,1.29857,0.82269,1.77228,0.001604,0.001604,0.001604
12,809.109,1.33616,1.10228,1.5895,0.9618,0.73169,0.8631,0.51436,1.25979,0.80235,1.7408,0.0015644,0.0015644,0.0015644
13,884.957,1.33254,1.02409,1.58792,0.92209,0.75897,0.87039,0.51637,1.28338,0.72471,1.75662,0.0015248,0.0015248,0.0015248
14,952.132,1.30375,1.03332,1.56652,0.88535,0.7812,0.83664,0.48862,1.29967,0.83537,1.74656,0.0014852,0.0014852,0.0014852
