epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.34,0.76406,0.91894,0.91079,0.99736,0.99533,0.99499,0.82552,0.64818,0.46935,0.8667,0.000666343,0.000666343,0.000666343
2,870.539,0.72788,0.48334,0.90948,0.99491,0.99531,0.99458,0.84684,0.60338,0.37534,0.8662,0.00130662,0.00130662,0.00130662
3,1245.55,0.69361,0.42817,0.90347,0.99512,0.99066,0.99487,0.85097,0.58131,0.34636,0.85466,0.00192049,0.00192049,0.00192049
4,1619.38,0.67858,0.41258,0.89967,0.99066,0.99618,0.9935,0.8677,0.54272,0.32004,0.84256,0.0018812,0.0018812,0.0018812
5,1990.33,0.66098,0.38479,0.89193,0.99744,0.99403,0.99492,0.87121,0.5268,0.29464,0.83794,0.0018416,0.0018416,0.0018416
6,2362.99,0.65178,0.37243,0.88964,0.99866,0.9949,0.995,0.87366,0.53083,0.2844,0.84265,0.001802,0.001802,0.001802
7,2723,0.62607,0.35371,0.88267,0.99744,0.99448,0.995,0.87388,0.52109,0.28268,0.83621,0.0017624,0.0017624,0.0017624
8,3080.36,0.61719,0.3487,0.8784,0.99767,0.99703,0.99459,0.87314,0.51982,0.27754,0.8368,0.0017228,0.0017228,0.0017228
9,3437.86,0.61368,0.34413,0.87853,0.99864,0.99703,0.995,0.87769,0.51124,0.25415,0.83167,0.0016832,0.0016832,0.0016832
10,3794.56,0.60367,0.3322,0.87588,0.99922,0.99575,0.995,0.88149,0.49969,0.25832,0.82902,0.0016436,0.0016436,0.0016436
11,4151.54,0.59711,0.3258,0.87552,0.9983,0.99792,0.995,0.88376,0.49045,0.25543,0.8277,0.001604,0.001604,0.001604
12,4508.85,0.58507,0.32045,0.87032,0.99777,0.99915,0.995,0.88701,0.4925,0.24636,0.82749,0.0015644,0.0015644,0.0015644
13,4865.55,0.58268,0.31565,0.87155,0.99818,0.99788,0.995,0.88412,0.49343,0.24621,0.82703,0.0015248,0.0015248,0.0015248
14,5221.83,0.57798,0.31101,0.87066,0.99916,0.99575,0.995,0.8828,0.48973,0.23464,0.82616,0.0014852,0.0014852,0.0014852
15,5577.68,0.57541,0.3045,0.86575,0.99823,0.99873,0.995,0.89124,0.47644,0.22665,0.82468,0.0014456,0.0014456,0.0014456
16,5933.48,0.57076,0.29999,0.86668,0.99926,0.9983,0.995,0.8897,0.48014,0.21988,0.82423,0.001406,0.001406,0.001406
17,6289.56,0.56218,0.29412,0.86609,0.99949,0.9983,0.995,0.89348,0.47135,0.22022,0.82201,0.0013664,0.0013664,0.0013664
18,6644.98,0.56075,0.29827,0.86427,0.99911,0.99788,0.99466,0.88997,0.47731,0.22867,0.82361,0.0013268,0.0013268,0.0013268
