epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.153,1.70877,2.49268,1.92559,0.86309,0.33319,0.38389,0.17448,1.80233,2.26508,2.24186,0.000555287,0.000555287,0.000555287
2,586.116,1.69498,1.93368,1.87919,0.87849,0.33202,0.37132,0.16541,2.04863,1.9812,2.48167,0.00108896,0.00108896,0.00108896
3,893.127,1.64937,1.80335,1.82883,0.3616,0.49733,0.38126,0.1887,1.79969,1.91827,2.2272,0.00160062,0.00160062,0.00160062
4,1158.83,1.61427,1.68358,1.79382,0.38173,0.49379,0.45269,0.24602,1.67094,1.46661,2.0834,0.00156798,0.00156798,0.00156798
5,1409.43,1.5233,1.56181,1.7251,0.39104,0.49535,0.4539,0.24346,1.66705,1.42221,2.06067,0.00153497,0.00153497,0.00153497
6,1661.99,1.49405,1.47934,1.69214,0.4147,0.72149,0.48345,0.26928,1.52435,1.28292,1.94657,0.00150197,0.00150197,0.00150197
7,1913.04,1.4456,1.40656,1.65372,0.45639,0.71721,0.53614,0.30502,1.51777,1.2181,1.93505,0.00146896,0.00146896,0.00146896
8,2162.49,1.41971,1.37533,1.6339,0.44324,0.68453,0.51157,0.28059,1.5605,1.18425,2.0506,0.00143595,0.00143595,0.00143595
9,2410.85,1.39196,1.31665,1.6072,0.53935,0.73216,0.58742,0.34013,1.48251,1.08703,1.91037,0.00140295,0.00140295,0.00140295
10,2658.16,1.36156,1.26635,1.58746,0.57027,0.68049,0.62152,0.34454,1.51655,1.12667,1.91973,0.00136994,0.00136994,0.00136994
11,2905.67,1.3463,1.24291,1.58045,0.65873,0.6943,0.70506,0.40132,1.43165,1.02907,1.85143,0.00133693,0.00133693,0.00133693
12,3154.92,1.33328,1.21064,1.56148,0.72024,0.67017,0.73339,0.4304,1.42748,1.00857,1.82674,0.00130393,0.00130393,0.00130393
13,3402.54,1.30092,1.16324,1.53725,0.70123,0.76822,0.79893,0.46233,1.39328,0.90911,1.79759,0.00127092,0.00127092,0.00127092
14,3650.87,1.29364,1.12555,1.52712,0.77009,0.75758,0.82134,0.48863,1.38719,0.85558,1.77717,0.00123791,0.00123791,0.00123791
15,3898.69,1.2882,1.09011,1.5297,0.80428,0.78147,0.84763,0.50914,1.36967,0.8417,1.76863,0.00120491,0.00120491,0.00120491
16,4146.85,1.2611,1.05029,1.50624,0.73461,0.8045,0.8226,0.48461,1.34135,0.8606,1.72884,0.0011719,0.0011719,0.0011719
17,4394.1,1.26881,1.04599,1.50839,0.80278,0.77753,0.86434,0.52036,1.33649,0.8273,1.71633,0.00113889,0.00113889,0.00113889
18,4640.71,1.24906,1.00203,1.49809,0.85828,0.79663,0.8891,0.54458,1.32349,0.74354,1.72719,0.00110589,0.00110589,0.00110589
19,4887.66,1.23372,1.01533,1.49194,0.88188,0.76496,0.8896,0.54217,1.33579,0.76228,1.72642,0.00107288,0.00107288,0.00107288
20,5135.01,1.22546,0.96234,1.47622,0.8598,0.81757,0.90388,0.55433,1.31769,0.70889,1.72054,0.00103987,0.00103987,0.00103987
21,5383.31,1.21905,0.95037,1.47076,0.87589,0.81481,0.90938,0.55417,1.29463,0.72031,1.68744,0.00100687,0.00100687,0.00100687
22,5630.94,1.20205,0.95159,1.46111,0.8825,0.81243,0.91154,0.56999,1.27291,0.68488,1.67089,0.000973861,0.000973861,0.000973861
23,5878.37,1.19014,0.92311,1.45694,0.87195,0.80905,0.90615,0.5606,1.30051,0.7144,1.67966,0.000940855,0.000940855,0.000940855
24,6127.28,1.19526,0.90711,1.4512,0.8812,0.82554,0.9229,0.57759,1.26605,0.67203,1.64513,0.000907848,0.000907848,0.000907848
25,6375.68,1.17286,0.89719,1.42787,0.86819,0.82912,0.92153,0.58708,1.23904,0.66661,1.63165,0.000874842,0.000874842,0.000874842
26,6623.87,1.17499,0.87728,1.43974,0.88313,0.84905,0.93272,0.58985,1.25016,0.6493,1.63591,0.000841835,0.000841835,0.000841835
27,6872.41,1.1651,0.8673,1.4334,0.86882,0.85903,0.93502,0.59281,1.24514,0.64298,1.62769,0.000808828,0.000808828,0.000808828
28,7119.7,1.15365,0.86278,1.42252,0.86213,0.84065,0.92761,0.58547,1.23871,0.66172,1.63864,0.000775822,0.000775822,0.000775822
29,7368.99,1.14237,0.84705,1.41663,0.87199,0.88089,0.94278,0.5988,1.24183,0.62745,1.63645,0.000742815,0.000742815,0.000742815
30,7635.63,1.1315,0.82668,1.4111,0.87784,0.85919,0.93864,0.60312,1.22835,0.60975,1.60996,0.000709809,0.000709809,0.000709809
31,7885.95,1.13836,0.81426,1.41245,0.90209,0.86587,0.94764,0.60681,1.2278,0.60193,1.60555,0.000676802,0.000676802,0.000676802
32,8134,1.12019,0.80711,1.40079,0.87114,0.90584,0.95326,0.61803,1.20286,0.58303,1.59658,0.000643795,0.000643795,0.000643795
33,8380.11,1.1099,0.79872,1.39357,0.86931,0.90604,0.95175,0.61294,1.20914,0.58202,1.58753,0.000610789,0.000610789,0.000610789
34,8627.19,1.10722,0.78763,1.39891,0.9101,0.87986,0.95332,0.61797,1.19694,0.58811,1.57411,0.000577782,0.000577782,0.000577782
35,8879.93,1.09113,0.77169,1.37542,0.88017,0.89593,0.94471,0.61841,1.18719,0.57664,1.56675,0.000544776,0.000544776,0.000544776
36,9120.16,1.08788,0.76105,1.37664,0.87951,0.90066,0.95381,0.62682,1.18234,0.56989,1.55892,0.000511769,0.000511769,0.000511769
37,9366.72,1.07959,0.75483,1.36783,0.88987,0.87901,0.9523,0.62859,1.18703,0.56786,1.55249,0.000478762,0.000478762,0.000478762
38,9621.21,1.07035,0.75115,1.3663,0.89937,0.87762,0.95307,0.62237,1.17947,0.55292,1.55224,0.000445756,0.000445756,0.000445756
39,9880.49,1.06727,0.74034,1.36517,0.90122,0.88219,0.94631,0.62778,1.16693,0.55166,1.54771,0.000412749,0.000412749,0.000412749
40,10133.9,1.06075,0.73003,1.36143,0.89592,0.89398,0.94799,0.6195,1.17645,0.5365,1.55337,0.000379743,0.000379743,0.000379743
41,10370.8,1.04999,0.54265,1.47287,0.89626,0.90359,0.93851,0.60851,1.16146,0.55541,1.54227,0.000346736,0.000346736,0.000346736
42,10606.2,1.03083,0.51266,1.45567,0.91482,0.91775,0.96368,0.63394,1.1644,0.53135,1.53822,0.000313729,0.000313729,0.000313729
43,10842.6,1.01574,0.49876,1.44295,0.91447,0.89385,0.9587,0.63413,1.15542,0.5245,1.53158,0.000280723,0.000280723,0.000280723
44,11077.4,1.0024,0.49301,1.43915,0.90121,0.91653,0.95351,0.62836,1.15004,0.52132,1.52607,0.000247716,0.000247716,0.000247716
45,11313.3,0.99132,0.481,1.41376,0.9027,0.90926,0.95471,0.63331,1.14133,0.51589,1.51531,0.00021471,0.00021471,0.00021471
46,11548.8,0.97816,0.4682,1.40889,0.91926,0.9142,0.96324,0.63752,1.14248,0.50525,1.51415,0.000181703,0.000181703,0.000181703
47,11785,0.96625,0.46169,1.4063,0.93331,0.90491,0.96401,0.64286,1.13268,0.50228,1.49974,0.000148696,0.000148696,0.000148696
48,12020,0.96636,0.45976,1.39671,0.93585,0.90346,0.96462,0.64256,1.13758,0.49588,1.50226,0.00011569,0.00011569,0.00011569
49,12254.9,0.95326,0.44707,1.38475,0.92858,0.91805,0.96411,0.64084,1.13546,0.49045,1.50065,8.26832e-05,8.26832e-05,8.26832e-05
50,12490.6,0.93659,0.44292,1.37675,0.93959,0.9092,0.96741,0.64418,1.12753,0.48768,1.49416,4.96766e-05,4.96766e-05,4.96766e-05
