epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.294,1.67694,2.48584,1.29088,0.6656,0.59985,0.60025,0.32363,1.50245,1.91833,1.27138,0.000332856,0.000332856,0.000332856
2,260.656,1.57116,1.63104,1.24216,0.70737,0.6151,0.65432,0.3568,1.45565,1.58244,1.26519,0.000652999,0.000652999,0.000652999
3,376.776,1.52989,1.42833,1.2334,0.75318,0.62172,0.71705,0.38333,1.46803,1.4243,1.27805,0.000959941,0.000959941,0.000959941
4,493.238,1.49193,1.2894,1.20512,0.72396,0.70582,0.77228,0.43785,1.36082,1.23104,1.23091,0.0009406,0.0009406,0.0009406
5,610.902,1.4573,1.19305,1.19163,0.73238,0.70693,0.77917,0.45935,1.29874,1.14369,1.19099,0.0009208,0.0009208,0.0009208
6,753.471,1.41776,1.12914,1.17506,0.73928,0.71113,0.78253,0.4621,1.29574,1.09485,1.17306,0.000901,0.000901,0.000901
7,886.228,1.38938,1.08974,1.16189,0.74778,0.73067,0.78333,0.44075,1.36125,1.07851,1.19184,0.0008812,0.0008812,0.0008812
8,1029.86,1.37793,1.05606,1.15223,0.73115,0.73617,0.78454,0.46367,1.28016,1.11747,1.15299,0.0008614,0.0008614,0.0008614
9,1148.67,1.34972,1.02071,1.14058,0.77205,0.70359,0.78478,0.46473,1.25401,1.03416,1.14273,0.0008416,0.0008416,0.0008416
10,1265.56,1.32529,1.00924,1.1278,0.77815,0.70418,0.79562,0.47862,1.22439,1.00213,1.12705,0.0008218,0.0008218,0.0008218
11,1394.2,1.29956,0.98251,1.11762,0.77165,0.76164,0.81876,0.49669,1.21893,0.94283,1.11926,0.000802,0.000802,0.000802
12,1529.53,1.29106,0.97045,1.11474,0.75348,0.79586,0.83024,0.51689,1.16612,0.89824,1.10597,0.0007822,0.0007822,0.0007822
13,1646.38,1.26026,0.94435,1.10347,0.76382,0.73989,0.82474,0.51279,1.18854,0.89494,1.10002,0.0007624,0.0007624,0.0007624
14,1763.42,1.25288,0.93944,1.09759,0.74412,0.76038,0.81627,0.50575,1.18185,0.91456,1.10284,0.0007426,0.0007426,0.0007426
15,1880.12,1.24035,0.92519,1.09631,0.71637,0.80643,0.81271,0.50802,1.14612,0.89615,1.08726,0.0007228,0.0007228,0.0007228
16,1996.43,1.22603,0.92425,1.08777,0.75355,0.78343,0.83258,0.52178,1.1346,0.85505,1.08982,0.000703,0.000703,0.000703
17,2113.39,1.21358,0.90341,1.09261,0.72498,0.79601,0.82867,0.52616,1.15675,0.85542,1.09393,0.0006832,0.0006832,0.0006832
18,2229.77,1.2145,0.89501,1.07567,0.72536,0.78931,0.81902,0.51315,1.15878,0.85028,1.08499,0.0006634,0.0006634,0.0006634
19,2346.06,1.20377,0.90228,1.07555,0.75479,0.80688,0.83544,0.5307,1.13629,0.83614,1.08035,0.0006436,0.0006436,0.0006436
20,2462.86,1.19793,0.89623,1.07414,0.76378,0.73674,0.83144,0.52071,1.14985,0.85245,1.08574,0.0006238,0.0006238,0.0006238
21,2579.48,1.1915,0.88732,1.08091,0.71575,0.80939,0.83432,0.52888,1.14194,0.83375,1.08352,0.000604,0.000604,0.000604
22,2696.73,1.18084,0.88635,1.06337,0.75001,0.78023,0.83261,0.53577,1.11229,0.83529,1.07036,0.0005842,0.0005842,0.0005842
23,2812.65,1.17321,0.87746,1.06879,0.77625,0.76854,0.84356,0.53549,1.12378,0.81081,1.07566,0.0005644,0.0005644,0.0005644
24,2929.56,1.17515,0.86172,1.0622,0.7677,0.77137,0.84266,0.54432,1.07524,0.81821,1.05856,0.0005446,0.0005446,0.0005446
25,3046.76,1.15029,0.85998,1.05959,0.73445,0.79949,0.84879,0.54539,1.0979,0.80649,1.07019,0.0005248,0.0005248,0.0005248
26,3163.49,1.14148,0.85177,1.05096,0.70069,0.82817,0.83902,0.54497,1.09258,0.78906,1.06243,0.000505,0.000505,0.000505
27,3280.17,1.1463,0.83917,1.05548,0.71548,0.82627,0.84118,0.54633,1.08676,0.78732,1.05831,0.0004852,0.0004852,0.0004852
28,3397.15,1.1358,0.83874,1.04852,0.6947,0.83777,0.84058,0.54221,1.08333,0.79307,1.0611,0.0004654,0.0004654,0.0004654
29,3514.69,1.13243,0.8419,1.04974,0.72779,0.7989,0.84239,0.55061,1.05073,0.79413,1.05626,0.0004456,0.0004456,0.0004456
30,3630.98,1.12936,0.82869,1.04784,0.74723,0.79962,0.84597,0.5532,1.05782,0.78202,1.04739,0.0004258,0.0004258,0.0004258
31,3747.04,1.1217,0.82682,1.04871,0.72157,0.81479,0.83612,0.54411,1.06569,0.77496,1.04703,0.000406,0.000406,0.000406
32,3865.91,1.10756,0.8193,1.04379,0.70997,0.83633,0.84294,0.55414,1.05382,0.75855,1.04583,0.0003862,0.0003862,0.0003862
33,3981.52,1.12134,0.81961,1.04742,0.74351,0.78388,0.84948,0.55631,1.05211,0.7674,1.04917,0.0003664,0.0003664,0.0003664
