epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5827,1.457,2.52101,1.52688,0.64829,0.5556,0.61054,0.34551,1.54593,1.85259,1.58838,0.000473411,0.000473411,0.000473411
2,62.0392,1.50972,1.72087,1.56946,0.65362,0.6063,0.64653,0.36067,1.53948,1.65307,1.61793,0.000930939,0.000930939,0.000930939
3,89.3236,1.48975,1.57779,1.54441,0.66562,0.64278,0.6702,0.37285,1.52704,1.69516,1.61027,0.00136961,0.00136961,0.00136961
4,116.368,1.47203,1.51616,1.54007,0.66036,0.64787,0.66108,0.37121,1.46379,1.56601,1.55582,0.00134412,0.00134412,0.00134412
5,143.656,1.44578,1.49837,1.52014,0.68387,0.70597,0.72009,0.40293,1.43767,1.47173,1.52512,0.00131582,0.00131582,0.00131582
6,171.094,1.44853,1.4406,1.50833,0.68143,0.65464,0.70844,0.41975,1.3966,1.39551,1.48207,0.00128753,0.00128753,0.00128753
7,198.194,1.42277,1.37162,1.50539,0.6913,0.70782,0.70374,0.41458,1.40712,1.34488,1.47358,0.00125923,0.00125923,0.00125923
8,225.852,1.37534,1.31447,1.45121,0.66287,0.70727,0.73165,0.43578,1.39831,1.313,1.503,0.00123094,0.00123094,0.00123094
9,253.079,1.33512,1.28247,1.45552,0.71552,0.72223,0.76351,0.43741,1.39004,1.29494,1.4902,0.00120265,0.00120265,0.00120265
10,280.395,1.35272,1.26776,1.45099,0.77286,0.72784,0.76596,0.45558,1.37111,1.18915,1.45561,0.00117435,0.00117435,0.00117435
11,307.621,1.328,1.23466,1.43778,0.75531,0.75111,0.78845,0.46941,1.35561,1.14835,1.46383,0.00114606,0.00114606,0.00114606
12,334.927,1.32453,1.20028,1.43106,0.72367,0.72823,0.78507,0.4764,1.32064,1.10144,1.41812,0.00111776,0.00111776,0.00111776
13,362.044,1.30781,1.16896,1.41321,0.75778,0.68607,0.77031,0.45353,1.37208,1.18399,1.46075,0.00108947,0.00108947,0.00108947
14,389.025,1.27053,1.12923,1.41425,0.78282,0.72862,0.77637,0.48362,1.31537,1.07943,1.41697,0.00106118,0.00106118,0.00106118
15,415.871,1.25965,1.11926,1.38911,0.79173,0.76747,0.81471,0.48919,1.35144,1.07695,1.43012,0.00103288,0.00103288,0.00103288
16,442.95,1.26125,1.07839,1.37902,0.79525,0.73422,0.80901,0.48032,1.33925,1.07699,1.4133,0.00100459,0.00100459,0.00100459
17,470.13,1.27018,1.1096,1.40692,0.79054,0.7567,0.81677,0.49652,1.29347,1.05056,1.40652,0.000976293,0.000976293,0.000976293
18,497.189,1.25416,1.07983,1.39289,0.80131,0.75445,0.81079,0.49479,1.28918,1.01765,1.40352,0.000947999,0.000947999,0.000947999
19,526.14,1.22818,1.06976,1.37522,0.7808,0.76097,0.80705,0.50077,1.29748,1.01736,1.41045,0.000919704,0.000919704,0.000919704
20,556.533,1.20647,1.03249,1.35028,0.78412,0.76275,0.81483,0.50797,1.26164,0.98434,1.37751,0.00089141,0.00089141,0.00089141
21,588.101,1.2272,1.0466,1.35902,0.8108,0.77059,0.81078,0.50061,1.27426,1.01501,1.38168,0.000863116,0.000863116,0.000863116
22,620.164,1.18637,1.00683,1.34456,0.82683,0.76531,0.82079,0.50481,1.29717,0.95512,1.40928,0.000834822,0.000834822,0.000834822
23,652.169,1.21504,1.01537,1.36236,0.78272,0.79304,0.83213,0.52146,1.2507,0.97706,1.35969,0.000806528,0.000806528,0.000806528
24,684.217,1.16987,0.97876,1.32016,0.84101,0.75931,0.83703,0.51656,1.26467,0.96532,1.36564,0.000778233,0.000778233,0.000778233
25,717.222,1.19162,0.98569,1.32937,0.83048,0.79427,0.843,0.53405,1.23417,0.90528,1.35427,0.000749939,0.000749939,0.000749939
26,749.329,1.16908,0.96408,1.30769,0.8345,0.76354,0.8376,0.5231,1.25276,0.95323,1.3693,0.000721645,0.000721645,0.000721645
27,781.425,1.15762,0.9452,1.31444,0.81702,0.79861,0.84661,0.53413,1.22005,0.90326,1.33991,0.000693351,0.000693351,0.000693351
28,813.233,1.14917,0.95402,1.31714,0.83106,0.79344,0.8445,0.54251,1.2039,0.8855,1.327,0.000665057,0.000665057,0.000665057
29,843.886,1.13651,0.94242,1.30772,0.84659,0.78374,0.85034,0.53462,1.21352,0.90299,1.32229,0.000636762,0.000636762,0.000636762
30,874.506,1.12818,0.9248,1.29516,0.82183,0.78093,0.84304,0.54402,1.24195,0.89096,1.3819,0.000608468,0.000608468,0.000608468
31,902.65,1.12168,0.892,1.29196,0.85484,0.79026,0.84806,0.53866,1.23142,0.89257,1.32555,0.000580174,0.000580174,0.000580174
32,930.61,1.12593,0.90799,1.29049,0.86475,0.79449,0.86083,0.5516,1.20235,0.87588,1.32176,0.00055188,0.00055188,0.00055188
33,958.099,1.10128,0.89181,1.28545,0.84912,0.78872,0.86037,0.5533,1.19104,0.86808,1.31779,0.000523586,0.000523586,0.000523586
34,985.234,1.09528,0.88761,1.26837,0.85028,0.80665,0.86043,0.56084,1.16393,0.84955,1.28867,0.000495291,0.000495291,0.000495291
35,1012.36,1.09734,0.87142,1.27691,0.87274,0.79521,0.86335,0.56666,1.18043,0.83574,1.30872,0.000466997,0.000466997,0.000466997
36,1039.43,1.10039,0.87674,1.27436,0.84809,0.79675,0.86132,0.56676,1.15382,0.83225,1.27729,0.000438703,0.000438703,0.000438703
37,1066.36,1.09209,0.8511,1.27173,0.86628,0.78663,0.85842,0.55748,1.17189,0.8337,1.29114,0.000410409,0.000410409,0.000410409
38,1093.32,1.07735,0.84888,1.24915,0.83514,0.80242,0.85561,0.55741,1.16191,0.84307,1.28872,0.000382115,0.000382115,0.000382115
39,1120.77,1.04626,0.83634,1.25441,0.85414,0.78295,0.85316,0.55768,1.16191,0.82573,1.28726,0.00035382,0.00035382,0.00035382
40,1147.6,1.06365,0.83519,1.2583,0.87232,0.79169,0.87128,0.56376,1.15423,0.83091,1.28641,0.000325526,0.000325526,0.000325526
41,1174.27,1.05754,0.80876,1.25835,0.853,0.80475,0.85999,0.56208,1.14286,0.83528,1.2783,0.000297232,0.000297232,0.000297232
42,1200.3,1.04755,0.78135,1.25195,0.86951,0.78565,0.85568,0.55977,1.15618,0.83005,1.29586,0.000268938,0.000268938,0.000268938
43,1226.83,1.0286,0.78646,1.25129,0.86186,0.79771,0.86005,0.5635,1.15754,0.82941,1.29145,0.000240644,0.000240644,0.000240644
44,1253.11,1.01082,0.75726,1.22922,0.86251,0.79427,0.86256,0.56357,1.15206,0.81782,1.29144,0.000212349,0.000212349,0.000212349
45,1279.21,1.00485,0.76151,1.23513,0.86635,0.79785,0.8624,0.56888,1.13798,0.80943,1.26844,0.000184055,0.000184055,0.000184055
46,1305.31,1.00323,0.75155,1.22163,0.87295,0.81099,0.87316,0.57312,1.13822,0.80369,1.27917,0.000155761,0.000155761,0.000155761
47,1331.26,0.99263,0.74369,1.20943,0.8655,0.81141,0.86696,0.57357,1.12804,0.8016,1.2639,0.000127467,0.000127467,0.000127467
48,1357.19,0.98524,0.7297,1.2107,0.86977,0.81641,0.86995,0.57287,1.13279,0.796,1.27455,9.91726e-05,9.91726e-05,9.91726e-05
49,1383.14,0.97474,0.73239,1.20006,0.87591,0.8147,0.87127,0.57387,1.12817,0.78841,1.271,7.08784e-05,7.08784e-05,7.08784e-05
50,1409.43,0.96152,0.71822,1.20658,0.85981,0.81269,0.8701,0.57476,1.1276,0.78716,1.27157,4.25842e-05,4.25842e-05,4.25842e-05
