epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.106,1.1245,1.81364,1.11018,0.72641,0.70869,0.74218,0.54239,0.99714,1.29422,1.05165,0.000416126,0.000416126,0.000416126
2,397.781,1.07452,1.27112,1.09413,0.75455,0.69159,0.75896,0.56404,0.9923,1.11019,1.02028,0.000816304,0.000816304,0.000816304
3,601.602,1.05036,1.11164,1.0801,0.73762,0.71643,0.76492,0.56554,0.96512,0.97576,1.0114,0.00119998,0.00119998,0.00119998
4,795.05,1.02762,1.0207,1.06698,0.76267,0.72827,0.78542,0.58666,0.95202,0.93317,1.01818,0.00117575,0.00117575,0.00117575
5,985.528,1.00601,0.96745,1.06229,0.79787,0.71637,0.79673,0.60492,0.93579,0.87672,0.99767,0.001151,0.001151,0.001151
6,1176.91,0.99074,0.92172,1.05376,0.79486,0.75002,0.81409,0.6216,0.90234,0.83513,0.99758,0.00112625,0.00112625,0.00112625
7,1368.4,0.9639,0.88899,1.04479,0.80122,0.74595,0.81156,0.628,0.87317,0.8018,0.98438,0.0011015,0.0011015,0.0011015
8,1559.65,0.94871,0.86241,1.03632,0.81947,0.74254,0.82499,0.64383,0.86421,0.76807,0.98474,0.00107675,0.00107675,0.00107675
9,1751.09,0.94282,0.84417,1.03215,0.81087,0.75358,0.82108,0.63792,0.87532,0.76894,0.98167,0.001052,0.001052,0.001052
10,1937.3,0.91714,0.81495,1.02377,0.81185,0.75705,0.83129,0.64765,0.86428,0.73995,0.97566,0.00102725,0.00102725,0.00102725
11,2125.12,0.90699,0.79471,1.01538,0.82808,0.75262,0.83519,0.65347,0.85269,0.75431,0.97922,0.0010025,0.0010025,0.0010025
12,2314.25,0.90772,0.79397,1.01649,0.80778,0.7631,0.83529,0.65684,0.84993,0.7397,0.96495,0.00097775,0.00097775,0.00097775
13,2498.57,0.90031,0.78073,1.01093,0.82974,0.75255,0.84241,0.66316,0.84746,0.71337,0.96942,0.000953,0.000953,0.000953
14,2676.6,0.90112,0.77155,1.0097,0.81285,0.77813,0.84484,0.66989,0.827,0.70093,0.96014,0.00092825,0.00092825,0.00092825
15,2864.02,0.8902,0.76446,1.00956,0.81276,0.77391,0.84362,0.67253,0.8232,0.68626,0.95772,0.0009035,0.0009035,0.0009035
16,3050.87,0.88245,0.75205,1.00269,0.83036,0.76151,0.84506,0.67052,0.81979,0.69122,0.95924,0.00087875,0.00087875,0.00087875
17,3238.63,0.87317,0.74402,0.99857,0.81508,0.78224,0.84535,0.66943,0.81425,0.69048,0.9594,0.000854,0.000854,0.000854
18,3418.63,0.86503,0.73103,0.99598,0.82552,0.77952,0.85158,0.68021,0.80362,0.6626,0.94803,0.00082925,0.00082925,0.00082925
19,3596.64,0.85865,0.73208,0.99327,0.81811,0.78101,0.85574,0.68301,0.81267,0.66442,0.95442,0.0008045,0.0008045,0.0008045
20,3774.61,0.85427,0.71948,0.99003,0.82687,0.76969,0.85065,0.68027,0.81229,0.68119,0.95036,0.00077975,0.00077975,0.00077975
21,3952.95,0.84477,0.70391,0.98472,0.8286,0.77411,0.85646,0.68577,0.80618,0.66306,0.9485,0.000755,0.000755,0.000755
22,4134.84,0.84463,0.70696,0.98713,0.81435,0.79103,0.85573,0.68532,0.80263,0.65769,0.95438,0.00073025,0.00073025,0.00073025
23,4314.88,0.83136,0.68742,0.98074,0.83667,0.77474,0.85587,0.68456,0.80185,0.6431,0.94864,0.0007055,0.0007055,0.0007055
24,4495.34,0.83617,0.69615,0.98378,0.81929,0.78564,0.85354,0.68492,0.80232,0.65565,0.95056,0.00068075,0.00068075,0.00068075
25,4675.69,0.82207,0.67665,0.97737,0.81695,0.79656,0.85649,0.68599,0.79372,0.63652,0.94094,0.000656,0.000656,0.000656
26,4864.81,0.81795,0.6779,0.97594,0.82776,0.78687,0.85795,0.68847,0.78895,0.63343,0.94693,0.00063125,0.00063125,0.00063125
27,5047.81,0.8122,0.66651,0.97204,0.82318,0.79183,0.86475,0.69566,0.78721,0.62866,0.94063,0.0006065,0.0006065,0.0006065
28,5226.84,0.81107,0.67176,0.97111,0.8283,0.78835,0.86137,0.69775,0.77296,0.62024,0.93751,0.00058175,0.00058175,0.00058175
29,5399.38,0.80567,0.65904,0.96971,0.8162,0.80077,0.86566,0.70063,0.77398,0.61834,0.93519,0.000557,0.000557,0.000557
30,5571.72,0.79861,0.65109,0.96413,0.82157,0.80661,0.87076,0.70544,0.7713,0.61617,0.93308,0.00053225,0.00053225,0.00053225
31,5744.2,0.79432,0.64451,0.96522,0.83712,0.7883,0.86662,0.70096,0.77373,0.62548,0.93963,0.0005075,0.0005075,0.0005075
32,5916.01,0.79432,0.64825,0.96781,0.8414,0.79122,0.86927,0.70133,0.77197,0.61407,0.93687,0.00048275,0.00048275,0.00048275
33,6096.26,0.78756,0.63544,0.96121,0.83422,0.79251,0.86686,0.7044,0.76334,0.61488,0.93217,0.000458,0.000458,0.000458
34,6283.86,0.78215,0.63011,0.95648,0.84306,0.78452,0.86829,0.70669,0.76498,0.60842,0.93358,0.00043325,0.00043325,0.00043325
35,6479.78,0.78578,0.6323,0.96039,0.83264,0.79514,0.87031,0.70709,0.76916,0.59989,0.93055,0.0004085,0.0004085,0.0004085
36,6684.79,0.78001,0.62427,0.95476,0.8296,0.8035,0.87365,0.71132,0.76341,0.59808,0.93058,0.00038375,0.00038375,0.00038375
37,6879.91,0.76961,0.61469,0.95445,0.85382,0.79741,0.87697,0.71321,0.76049,0.59127,0.93245,0.000359,0.000359,0.000359
38,7069.6,0.76778,0.61103,0.95184,0.85078,0.79523,0.87705,0.71635,0.75689,0.58569,0.92868,0.00033425,0.00033425,0.00033425
39,7263.53,0.76027,0.60314,0.94622,0.83699,0.80731,0.87475,0.71398,0.7567,0.59253,0.92465,0.0003095,0.0003095,0.0003095
40,7458.77,0.75053,0.59798,0.94547,0.83539,0.80785,0.87847,0.71732,0.74905,0.58203,0.92574,0.00028475,0.00028475,0.00028475
41,7646.62,0.74138,0.5705,0.93633,0.84262,0.79518,0.87468,0.71236,0.75993,0.58612,0.92745,0.00026,0.00026,0.00026
42,7829.95,0.73302,0.55605,0.92959,0.8334,0.80873,0.87725,0.71454,0.76076,0.58395,0.92957,0.00023525,0.00023525,0.00023525
43,8016.29,0.72741,0.55011,0.92812,0.84317,0.79893,0.87497,0.71354,0.75977,0.58456,0.92978,0.0002105,0.0002105,0.0002105
44,8202.02,0.71926,0.54588,0.92104,0.85362,0.79737,0.87667,0.71542,0.75864,0.5823,0.92894,0.00018575,0.00018575,0.00018575
45,8383.05,0.71447,0.53608,0.9209,0.85801,0.79134,0.87978,0.71698,0.75299,0.57662,0.92665,0.000161,0.000161,0.000161
46,8566.7,0.70819,0.53386,0.91737,0.84324,0.80854,0.87941,0.71738,0.75263,0.57807,0.928,0.00013625,0.00013625,0.00013625
47,8749.89,0.70536,0.52491,0.91524,0.85662,0.79907,0.87873,0.71884,0.7512,0.57271,0.92511,0.0001115,0.0001115,0.0001115
48,8941.11,0.70104,0.5212,0.91325,0.85411,0.79745,0.87834,0.71776,0.74851,0.57315,0.92404,8.675e-05,8.675e-05,8.675e-05
49,9122.17,0.69508,0.514,0.91186,0.8482,0.80439,0.87964,0.719,0.75133,0.57026,0.92599,6.2e-05,6.2e-05,6.2e-05
50,9311.55,0.69202,0.5146,0.91393,0.85108,0.80347,0.88104,0.71931,0.74835,0.56873,0.92444,3.725e-05,3.725e-05,3.725e-05
